ship_id,ship_name,itinerary_name,number_of_days,depart_from,start_day,rating,url
1758,NATURAL PARADISE,Itinerary A4,4 days,Baltra Island Airport,Saturday,65.0,https://www.galapagosadvisor.com/ships/natural-paradise/itineraries/itinerary-a4/
1758,NATURAL PARADISE,Itinerary A5,5 days,San Cristóbal Island Airport,Tuesday,66.0,https://www.galapagosadvisor.com/ships/natural-paradise/itineraries/itinerary-a5/
1758,NATURAL PARADISE,Itinerary B,8 days,Baltra Island Airport,Tuesday,63.0,https://www.galapagosadvisor.com/ships/natural-paradise/itineraries/itinerary-b/
1303,NEMO I,A5 + B5 (9 Days),Unknown,Baltra Island Airport,Thursday,64.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/a5-plus-b5-9-days/
1303,NEMO I,B4 + A4 (7 Days),7 days,Baltra Island Airport,Friday,70.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/b4-plus-a4-7-days/
1303,NEMO I,Itinerary A,8 days,Baltra Island Airport,Monday,70.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/itinerary-a/
1303,NEMO I,Itinerary A4,4 days,Baltra Island Airport,Monday,73.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/itinerary-a4/
1303,NEMO I,Itinerary A5,Unknown,Baltra Island Airport,Thursday,66.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/itinerary-a5/
1303,NEMO I,Itinerary B,8 days,Baltra Island Airport,Monday,64.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/itinerary-b/
1303,NEMO I,Itinerary B4,4 days,Baltra Island Airport,Friday,67.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/itinerary-b4/
1303,NEMO I,Itinerary B5,5 days,Baltra Island Airport,Monday,61.0,https://www.galapagosadvisor.com/ships/nemo-i/itineraries/itinerary-b5/
1304,NEMO II,North itinerary,8 days,Baltra Island Airport,Sunday,68.0,https://www.galapagosadvisor.com/ships/nemo-ii/itineraries/north-itinerary/
1304,NEMO II,South Itinerary B,8 days,Baltra Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/nemo-ii/itineraries/south-itinerary-b/
1304,NEMO II,South Itinerary B4,4 days,Baltra Island Airport,Thursday,58.0,https://www.galapagosadvisor.com/ships/nemo-ii/itineraries/south-itinerary-b4/
1304,NEMO II,South Itinerary B5,5 days,Baltra Island Airport,Sunday,70.0,https://www.galapagosadvisor.com/ships/nemo-ii/itineraries/south-itinerary-b5/
1305,NEMO III,Itinerary A,8 days,Baltra Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/nemo-iii/itineraries/itinerary-a/
1305,NEMO III,Itinerary A4,4 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/nemo-iii/itineraries/itinerary-a4/
1305,NEMO III,Itinerary A5,5 days,Baltra Island Airport,Wednesday,66.0,https://www.galapagosadvisor.com/ships/nemo-iii/itineraries/itinerary-a5/
1305,NEMO III,Itinerary B,8 days,Baltra Island Airport,Sunday,66.0,https://www.galapagosadvisor.com/ships/nemo-iii/itineraries/itinerary-b/
1305,NEMO III,Itinerary B4,4 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/nemo-iii/itineraries/itinerary-b4/
1305,NEMO III,Itinerary B5,8 days,Baltra Island Airport,Sunday,66.0,https://www.galapagosadvisor.com/ships/nemo-iii/itineraries/itinerary-b5/
1307,OCEAN SPRAY,Itinerary A,8 days,Baltra Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/ocean-spray/itineraries/itinerary-a/
1307,OCEAN SPRAY,Itinerary A6,6 days,Baltra Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/ocean-spray/itineraries/itinerary-a6/
1307,OCEAN SPRAY,Itinerary B,8 days,San Cristóbal Island Airport,Saturday,64.0,https://www.galapagosadvisor.com/ships/ocean-spray/itineraries/itinerary-b/
1307,OCEAN SPRAY,Itinerary B4,4 days,San Cristóbal Island Airport,Saturday,59.0,https://www.galapagosadvisor.com/ships/ocean-spray/itineraries/itinerary-b4/
1307,OCEAN SPRAY,Itinerary B5,5 days,Baltra Island Airport,Tuesday,68.0,https://www.galapagosadvisor.com/ships/ocean-spray/itineraries/itinerary-b5/
1307,OCEAN SPRAY,Itinerary B6,6 days,Baltra Island Airport,Tuesday,65.0,https://www.galapagosadvisor.com/ships/ocean-spray/itineraries/itinerary-b6/
1306,ODYSSEY,Itinerary A,6 days,San Cristóbal Island Airport,Tuesday,65.0,https://www.galapagosadvisor.com/ships/odyssey/itineraries/itinerary-a/
1306,ODYSSEY,Itinerary B,Unknown,Baltra Island Airport,Sunday,67.0,https://www.galapagosadvisor.com/ships/odyssey/itineraries/itinerary-b/
1306,ODYSSEY,Itinerary C,6 days,Baltra Island Airport,Thursday,64.0,https://www.galapagosadvisor.com/ships/odyssey/itineraries/itinerary-c/
1751,Origin Theory & Evolve,Itinerary A - SE,8 days,San Cristóbal Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/origin-theory-evolve/itineraries/itinerary-a-se/
1751,Origin Theory & Evolve,Itinerary B - NW,Unknown,San Cristóbal Island Airport,Sunday,67.0,https://www.galapagosadvisor.com/ships/origin-theory-evolve/itineraries/itinerary-b-nw/
1308,PASSION,East,8 days,Baltra Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/passion/itineraries/east/
1308,PASSION,West,8 days,Baltra Island Airport,Saturday,57.0,https://www.galapagosadvisor.com/ships/passion/itineraries/west/
1571,PETREL,Itinerary A,8 days,Baltra Island Airport,Friday,70.0,https://www.galapagosadvisor.com/ships/petrel/itineraries/itinerary-a/
1571,PETREL,Itinerary A6,6 days,Baltra Island Airport,Friday,69.0,https://www.galapagosadvisor.com/ships/petrel/itineraries/itinerary-a6/
1571,PETREL,Itinerary B,8 days,San Cristóbal Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/petrel/itineraries/itinerary-b/
1571,PETREL,Itinerary B4,4 days,San Cristóbal Island Airport,Friday,60.0,https://www.galapagosadvisor.com/ships/petrel/itineraries/itinerary-b4/
1571,PETREL,Itinerary B5,Unknown,Baltra Island Airport,Unknown,65.0,https://www.galapagosadvisor.com/ships/petrel/itineraries/itinerary-b5/
1571,PETREL,Itinerary B6,6 days,Baltra Island Airport,Wednesday,64.0,https://www.galapagosadvisor.com/ships/petrel/itineraries/itinerary-b6/
1311,REINA SILVIA,Eastern Route,8 days,Baltra Island Airport,Saturday,71.0,https://www.galapagosadvisor.com/ships/reina-silvia/itineraries/eastern-route/
1311,REINA SILVIA,Western Route,8 days,Baltra Island Airport,Saturday,63.0,https://www.galapagosadvisor.com/ships/reina-silvia/itineraries/western-route/
1312,SAMBA,North West,8 days,Baltra Island Airport,Tuesday,68.0,https://www.galapagosadvisor.com/ships/samba/itineraries/north-west/
1312,SAMBA,South East,8 days,Baltra Island Airport,Tuesday,64.0,https://www.galapagosadvisor.com/ships/samba/itineraries/south-east/
1313,SANTA CRUZ II,Eastern Islands,7 days,Baltra Island Airport,Friday,67.0,https://www.galapagosadvisor.com/ships/santa-cruz-ii/itineraries/eastern-islands/
1313,SANTA CRUZ II,Northern Islands,5 days,Baltra Island Airport,Monday,68.0,https://www.galapagosadvisor.com/ships/santa-cruz-ii/itineraries/northern-islands/
1313,SANTA CRUZ II,Western Islands,5 days,Baltra Island Airport,Thursday,60.0,https://www.galapagosadvisor.com/ships/santa-cruz-ii/itineraries/western-islands/
1592,SEA MAN JOURNEY,Itinerary A,4 days,Baltra Island Airport,Friday,76.0,https://www.galapagosadvisor.com/ships/sea-man-journey/itineraries/itinerary-a/
1592,SEA MAN JOURNEY,Itinerary B,5 days,San Cristóbal Island Airport,Monday,61.0,https://www.galapagosadvisor.com/ships/sea-man-journey/itineraries/itinerary-b/
1592,SEA MAN JOURNEY,Itinerary C,8 days,Baltra Island Airport,Friday,66.0,https://www.galapagosadvisor.com/ships/sea-man-journey/itineraries/itinerary-c/
1592,SEA MAN JOURNEY,Itinerary C1,8 days,Baltra Island Airport,Friday,68.0,https://www.galapagosadvisor.com/ships/sea-man-journey/itineraries/itinerary-c1/
3763,Solaris,Itinerary A 8Days,8 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/solaris/itineraries/itinerary-a-8days/
3763,Solaris,itinerary B 8Days,8 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/solaris/itineraries/itinerary-b-8days/
3763,Solaris,itinerary C 4Days,4 days,Baltra Island Airport,Tuesday,73.0,https://www.galapagosadvisor.com/ships/solaris/itineraries/itinerary-c-4days/
3763,Solaris,itinerary D 5Days,5 days,San Cristóbal Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/solaris/itineraries/itinerary-d-5days/
1315,TIP TOP II,Itinerary 2 4D,4 days,Baltra Island Airport,Friday,72.0,https://www.galapagosadvisor.com/ships/tip-top-ii/itineraries/itinerary-2-4d/
1315,TIP TOP II,Itinerary 2 5D,5 days,Baltra Island Airport,Monday,61.0,https://www.galapagosadvisor.com/ships/tip-top-ii/itineraries/itinerary-2-5d/
1315,TIP TOP II,Option 1,8 days,Baltra Island Airport,Friday,66.0,https://www.galapagosadvisor.com/ships/tip-top-ii/itineraries/option-1/
1315,TIP TOP II,Option 2,8 days,Baltra Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/tip-top-ii/itineraries/option-2/
1317,TIP TOP IV,Itinerary 1,8 days,Baltra Island Airport,Friday,68.0,https://www.galapagosadvisor.com/ships/tip-top-iv/itineraries/itinerary-1/
1317,TIP TOP IV,Itinerary 2,8 days,Baltra Island Airport,Friday,67.0,https://www.galapagosadvisor.com/ships/tip-top-iv/itineraries/itinerary-2/
1317,TIP TOP IV,Itinerary 2 4D,4 days,Baltra Island Airport,Friday,67.0,https://www.galapagosadvisor.com/ships/tip-top-iv/itineraries/itinerary-2-4d/
1317,TIP TOP IV,Itinerary 2 5D,5 days,Baltra Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/tip-top-iv/itineraries/itinerary-2-5d/
1318,TREASURE OF GALAPAGOS,A,5 days,Baltra Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/treasure-of-galapagos/itineraries/a/
1318,TREASURE OF GALAPAGOS,B,5 days,San Cristóbal Island Airport,Tuesday,66.0,https://www.galapagosadvisor.com/ships/treasure-of-galapagos/itineraries/b/
1318,TREASURE OF GALAPAGOS,C,7 days,Baltra Island Airport,Saturday,61.0,https://www.galapagosadvisor.com/ships/treasure-of-galapagos/itineraries/c/
1584,XPERIENCE,Northern Itinerary,8 days,Baltra Island Airport,Saturday,69.0,https://www.galapagosadvisor.com/ships/xperience/itineraries/northern-itinerary/
1584,XPERIENCE,Southern Itinerary,8 days,Baltra Island Airport,Saturday,66.0,https://www.galapagosadvisor.com/ships/xperience/itineraries/southern-itinerary/
1580,XPLORATION,Northern Itinerary,8 days,Baltra Island Airport,Saturday,69.0,https://www.galapagosadvisor.com/ships/xploration/itineraries/northern-itinerary/
1580,XPLORATION,Southern Itinerary,8 days,Baltra Island Airport,Saturday,66.0,https://www.galapagosadvisor.com/ships/xploration/itineraries/southern-itinerary/
1608,YOLITA II,Itinerary A,8 days,Baltra Island Airport,Sunday,65.0,https://www.galapagosadvisor.com/ships/yolita-ii/itineraries/itinerary-a/
1608,YOLITA II,Itinerary B,8 days,Baltra Island Airport,Sunday,66.0,https://www.galapagosadvisor.com/ships/yolita-ii/itineraries/itinerary-b/
1608,YOLITA II,Itinerary B4,4 days,Baltra Island Airport,Thursday,57.0,https://www.galapagosadvisor.com/ships/yolita-ii/itineraries/itinerary-b4/
1608,YOLITA II,Itinerary B5,5 days,Baltra Island Airport,Sunday,74.0,https://www.galapagosadvisor.com/ships/yolita-ii/itineraries/itinerary-b5/
